1581638.837844 5096703.648642              CB82-08 146.00 1.4446 -14.522
1581620.900918 5096721.063046              CB82-08 147.00 1.4444 -14.9147
1581602.963992 5096738.477450              CB82-08 148.00 1.4441 -15.1288
1581585.027006 5096755.891912              CB82-08 149.00 1.4437 -15.1709
1581567.090080 5096773.306316              CB82-08 150.00 1.4436 -15.1406
1581549.153154 5096790.720720              CB82-08 151.00 1.4434 -14.6955
1581531.216227 5096808.135124              CB82-08 152.00 1.4433 -13.9693
1581513.279301 5096825.549528              CB82-08 153.00 1.4432 -13.9221
1581495.342316 5096842.963990              CB82-08 154.00 1.4430 -13.7115
1581477.405389 5096860.378394              CB82-08 155.00 1.4425 -13.5274
1581459.468463 5096877.792798              CB82-08 156.00 1.4422 -13.62
1581441.531537 5096895.207202              CB82-08 157.00 1.4421 -13.183
1581423.594611 5096912.621606              CB82-08 158.00 1.4422 -12.6108
1581405.657684 5096930.036010              CB82-08 159.00 1.4422 -12.0864
1581387.720758 5096947.450414              CB82-08 160.00 1.4422 -12.0515
1581369.783832 5096964.864818              CB82-08 161.00 1.4421 -12.3575
1581351.846906 5096982.279222              CB82-08 162.00 1.4420 -13.2395
1581333.909861 5096999.693741              CB82-08 163.00 1.4420 -13.3924
1581315.972934 5097017.108145              CB82-08 164.00 1.4418 -12.7536
1581298.036008 5097034.522550              CB82-08 165.00 1.4415 -12.0767
1581280.099082 5097051.936954              CB82-08 166.00 1.4412 -11.3992
1581262.162156 5097069.351358              CB82-08 167.00 1.4410 -11.0477
1581244.225230 5097086.765762              CB82-08 168.00 1.4409 -10.707
1581226.288303 5097104.180166              CB82-08 169.00 1.4407 -10.8659
1581208.351377 5097121.594570              CB82-08 170.00 1.4405 -10.7957
1581190.414451 5097139.008974              CB82-08 171.00 1.4403 -10.7589
1581172.477525 5097156.423378              CB82-08 172.00 1.4402 -10.7526
1581154.540598 5097173.837782              CB82-08 173.00 1.4400 -10.973
1581136.603553 5097191.252301              CB82-08 174.00 1.4400 -10.964
1581118.666627 5097208.666705              CB82-08 175.00 1.4400 -11.0888
1581100.729701 5097226.081109              CB82-08 176.00 1.4400 -11.6155
1581082.792775 5097243.495513              CB82-08 177.00 1.4400 -11.479
1581064.855848 5097260.909917              CB82-08 178.00 1.4399 -11.3533
1581046.918922 5097278.324321              CB82-08 179.00 1.4396 -11.3727
1581028.981996 5097295.738725              CB82-08 180.00 1.4391 -10.6295
1581011.045070 5097313.153129              CB82-08 181.00 1.4388 -9.77852
1580993.108143 5097330.567533              CB82-08 182.00 1.4385 -9.30268
1580975.171217 5097347.981937              CB82-08 183.00 1.4385 -9.12339
1580957.234291 5097365.396341              CB82-08 184.00 1.4382 -9.22557
1580939.297246 5097382.810861              CB82-08 185.00 1.4376 -10.2444
1580921.360320 5097400.225265              CB82-08 186.00 1.4373 -10.5002
1580903.423393 5097417.639669              CB82-08 187.00 1.4373 -9.77416
1580885.486467 5097435.054073              CB82-08 188.00 1.4372 -9.4246
1580867.549541 5097452.468477              CB82-08 189.00 1.4369 -9.2209
1580849.612615 5097469.882881              CB82-08 190.00 1.4365 -8.94389
1580831.675689 5097487.297285              CB82-08 191.00 1.4361 -8.63153
1580813.738762 5097504.711689              CB82-08 192.00 1.4358 -7.99353
1580795.801836 5097522.126093              CB82-08 193.00 1.4355 -7.92245
1580777.864910 5097539.540497              CB82-08 194.00 1.4350 -7.95462
1580759.927984 5097556.954901              CB82-08 195.00 1.4348 -7.96576
1580741.990939 5097574.369420              CB82-08 196.00 1.4344 -8.01844
1580724.054012 5097591.783824              CB82-08 197.00 1.4344 -8.46149
1580706.117086 5097609.198228              CB82-08 198.00 1.4341 -8.5866
1580688.180160 5097626.612632              CB82-08 199.00 1.4338 -8.25486
1580670.243234 5097644.027036              CB82-08 200.00 1.4338 -8.52377
1580652.306307 5097661.441440              CB82-08 201.00 1.4340 -8.94617
1580634.369381 5097678.855844              CB82-08 202.00 1.4337 -8.95555
1580616.432455 5097696.270248              CB82-08 203.00 1.4332 -9.32019
1580598.495529 5097713.684653              CB82-08 204.00 1.4329 -9.37635
1580580.558602 5097731.099057              CB82-08 205.00 1.4326 -9.38177
1580562.621676 5097748.513461              CB82-08 206.00 1.4325 -9.43112
1580544.684631 5097765.927980              CB82-08 207.00 1.4325 -9.22716
1580526.747705 5097783.342384              CB82-08 208.00 1.4325 -9.62417
1580508.810779 5097800.756788              CB82-08 209.00 1.4326 -10.1206
1580490.873852 5097818.171192              CB82-08 210.00 1.4324 -10.349
1580472.936926 5097835.585596              CB82-08 211.00 1.4323 -10.5383
1580455.000000 5097853.000000              CB82-08 212.00 1.4321 -10.7829
1580436.888889 5097870.444445              CB82-08 213.00 1.4319 -10.8021
1580418.777778 5097887.888889              CB82-08 214.00 1.4318 -10.1103
1580400.666665 5097905.333335              CB82-08 215.00 1.4317 -9.60431
1580382.555555 5097922.777778              CB82-08 216.00 1.4317 -9.00772
1580364.444440 5097940.222226              CB82-08 217.00 1.4317 -8.85706
1580346.333330 5097957.666670              CB82-08 218.00 1.4316 -8.97768
1580328.222220 5097975.111113              CB82-08 219.00 1.4318 -9.3578
1580310.111110 5097992.555557              CB82-08 220.00 1.4320 -9.97872
1580292.000000 5098010.000000              CB82-08 221.00 1.4321 -9.93102
1580273.909090 5098027.000001              CB82-08 222.00 1.4321 -10.5632
1580255.818181 5098044.000001              CB82-08 223.00 1.4321 -10.9689
1580237.727271 5098061.000002              CB82-08 224.00 1.4320 -10.6001
1580219.636361 5098078.000002              CB82-08 225.00 1.4321 -10.5887
1580201.545452 5098095.000003              CB82-08 226.00 1.4322 -10.9151
1580183.454542 5098112.000003              CB82-08 227.00 1.4324 -10.3827
1580165.363639 5098128.999998              CB82-08 228.00 1.4327 -10.058
1580147.272723 5098146.000004              CB82-08 229.00 1.4326 -9.89289
1580129.181819 5098162.999999              CB82-08 230.00 1.4324 -9.55558
1580111.090904 5098180.000005              CB82-08 231.00 1.4321 -9.19104
1580093.000000 5098197.000000              CB82-08 232.00 1.4317 -9.19168
1580074.666666 5098214.416667              CB82-08 233.00 1.4314 -9.76501
1580056.333332 5098231.833334              CB82-08 234.00 1.4311 -9.90446
1580038.000000 5098249.250000              CB82-08 235.00 1.4308 -9.39321
1580019.666664 5098266.666669              CB82-08 236.00 1.4307 -9.00261
1580001.333336 5098284.083331              CB82-08 237.00 1.4311 -8.48446
1579983.000000 5098301.500000              CB82-08 238.00 1.4313 -8.56496
1579964.666671 5098318.916663              CB82-08 239.00 1.4315 -9.26968
1579946.333329 5098336.333337              CB82-08 240.00 1.4315 -10.3834
1579928.000000 5098353.750000              CB82-08 241.00 1.4313 -11.2306
1579909.666671 5098371.166663              CB82-08 242.00 1.4312 -12.0005
1579891.333329 5098388.583337              CB82-08 243.00 1.4308 -11.7001
1579873.000000 5098406.000000              CB82-08 244.00 1.4307 -10.8222
1579855.000000 5098423.214286              CB82-08 245.00 1.4309 -9.53181
1579836.999999 5098440.428572              CB82-08 246.00 1.4309 -8.28961
1579818.999998 5098457.642859              CB82-08 247.00 1.4312 -8.21085
1579800.999999 5098474.857144              CB82-08 248.00 1.4313 -8.73662
1579783.000000 5098492.071429              CB82-08 249.00 1.4313 -9.56954
1579764.999995 5098509.285719              CB82-08 250.00 1.4311 -10.6493
1579746.999996 5098526.500004              CB82-08 251.00 1.4311 -11.8069
1579728.999997 5098543.714288              CB82-08 252.00 1.4311 -12.4063
1579710.999998 5098560.928573              CB82-08 253.00 1.4311 -13.2693
1579692.999999 5098578.142858              CB82-08 254.00 1.4311 -13.2165
1579674.999989 5098595.357153              CB82-08 255.00 1.4310 -12.9411
1579656.999990 5098612.571438              CB82-08 256.00 1.4309 -12.3976
1579638.999991 5098629.785722              CB82-08 257.00 1.4308 -11.6359
1579620.999992 5098647.000007              CB82-08 258.00 1.4306 -10.8865
1579602.999994 5098664.214292              CB82-08 259.00 1.4303 -10.8538
1579584.999995 5098681.428577              CB82-08 260.00 1.4302 -11.3906
1579566.999996 5098698.642861              CB82-08 261.00 1.4300 -11.8402
1579548.999997 5098715.857146              CB82-08 262.00 1.4297 -12.1832
1579530.999998 5098733.071431              CB82-08 263.00 1.4296 -11.9235
1579512.999999 5098750.285715              CB82-08 264.00 1.4294 -11.8959
1579495.000000 5098767.500000              CB82-08 265.00 1.4294 -12.312
1579476.999979 5098784.714306              CB82-08 266.00 1.4294 -11.9934
1579459.000002 5098801.928569              CB82-08 267.00 1.4293 -11.5831
1579440.999981 5098819.142876              CB82-08 268.00 1.4290 -11.6966
1579423.000004 5098836.357139              CB82-08 269.00 1.4290 -11.4078
1579404.999983 5098853.571445              CB82-08 270.00 1.4289 -11.2912
1579387.000006 5098870.785708              CB82-08 271.00 1.4286 -11.361
1579368.999985 5098888.000014              CB82-08 272.00 1.4284 -11.0183
1579351.000009 5098905.214278              CB82-08 273.00 1.4283 -10.739
1579332.999987 5098922.428584              CB82-08 274.00 1.4282 -10.0323
1579315.000011 5098939.642847              CB82-08 275.00 1.4281 -9.04664
1579296.999989 5098956.857153              CB82-08 276.00 1.4279 -8.96052
1579279.000013 5098974.071416              CB82-08 277.00 1.4278 -8.83857
1579260.999991 5098991.285722              CB82-08 278.00 1.4278 -9.22675
1579243.000015 5099008.499986              CB82-08 279.00 1.4277 -10.1481
1579224.999994 5099025.714292              CB82-08 280.00 1.4278 -10.5411
1579207.000017 5099042.928555              CB82-08 281.00 1.4277 -10.4663
1579188.999996 5099060.142861              CB82-08 282.00 1.4277 -10.3532
1579171.000019 5099077.357124              CB82-08 283.00 1.4277 -11.0078
1579152.999998 5099094.571431              CB82-08 284.00 1.4278 -11.5859
1579135.000021 5099111.785694              CB82-08 285.00 1.4278 -12.0064
1579117.000000 5099129.000000              CB82-08 286.00 1.4279 -11.3589
1579099.000000 5099146.347826              CB82-08 287.00 1.4280 -10.6532
1579080.999999 5099163.695653              CB82-08 288.00 1.4281 -10.7439
1579063.000001 5099181.043478              CB82-08 289.00 1.4281 -10.1152
1579044.999999 5099198.391306              CB82-08 290.00 1.4281 -9.71511
1579027.000003 5099215.739128              CB82-08 291.00 1.4281 -9.40642
1579009.000001 5099233.086955              CB82-08 292.00 1.4281 -8.93392
1578991.000005 5099250.434777              CB82-08 293.00 1.4283 -8.80397
1578972.999997 5099267.782611              CB82-08 294.00 1.4282 -8.85252
1578955.000002 5099285.130433              CB82-08 295.00 1.4277 -9.09071
1578937.000006 5099302.478255              CB82-08 296.00 1.4273 -10.0214
1578918.999998 5099319.826089              CB82-08 297.00 1.4272 -10.2621
1578901.000002 5099337.173911              CB82-08 298.00 1.4274 -10.3622
1578883.000006 5099354.521733              CB82-08 299.00 1.4274 -10.4496
1578865.000011 5099371.869555              CB82-08 300.00 1.4274 -9.88051
1578846.999990 5099389.217401              CB82-08 301.00 1.4271 -9.41892
1578828.999995 5099406.565223              CB82-08 302.00 1.4268 -9.57895
1578810.999999 5099423.913045              CB82-08 303.00 1.4267 -9.96737
1578793.000003 5099441.260866              CB82-08 304.00 1.4266 -10.5483
1578775.000008 5099458.608688              CB82-08 305.00 1.4267 -11.157
1578757.000012 5099475.956510              CB82-08 306.00 1.4268 -11.6682
1578738.999991 5099493.304356              CB82-08 307.00 1.4267 -11.4142
1578720.999996 5099510.652178              CB82-08 308.00 1.4268 -11.2753
1578703.000000 5099528.000000              CB82-08 309.00 1.4269 -11.1576
1578685.270270 5099545.378379              CB82-08 310.00 1.4272 -10.5378
1578667.540540 5099562.756758              CB82-08 311.00 1.4269 -9.76464
1578649.810813 5099580.135133              CB82-08 312.00 1.4266 -9.25557
1578632.081079 5099597.513515              CB82-08 313.00 1.4263 -9.41457
1578614.351355 5099614.891888              CB82-08 314.00 1.4261 -9.62102
1578596.621626 5099632.270266              CB82-08 315.00 1.4259 -9.70498
1578578.891888 5099649.648653              CB82-08 316.00 1.4255 -10.411
1578561.162159 5099667.027030              CB82-08 317.00 1.4253 -10.345
1578543.432430 5099684.405408              CB82-08 318.00 1.4253 -10.5597
1578525.702711 5099701.783776              CB82-08 319.00 1.4254 -11.0034
1578507.972972 5099719.162163              CB82-08 320.00 1.4252 -11.357
1578490.243253 5099736.540531              CB82-08 321.00 1.4251 -12.1684
1578472.513514 5099753.918918              CB82-08 322.00 1.4250 -11.6127
1578454.783775 5099771.297306              CB82-08 323.00 1.4248 -10.1503
1578437.054056 5099788.675674              CB82-08 324.00 1.4247 -9.4859
1578419.324317 5099806.054061              CB82-08 325.00 1.4243 -8.91881
1578401.594598 5099823.432429              CB82-08 326.00 1.4241 -8.55026
1578383.864860 5099840.810816              CB82-08 327.00 1.4241 -9.21236
1578366.135140 5099858.189184              CB82-08 328.00 1.4241 -9.78721
1578348.405421 5099875.567552              CB82-08 329.00 1.4239 -9.47015
1578330.675663 5099892.945958              CB82-08 330.00 1.4238 -9.12386
1578312.945944 5099910.324326              CB82-08 331.00 1.4238 -8.98412
1578295.216225 5099927.702694              CB82-08 332.00 1.4238 -8.9056
1578277.486506 5099945.081062              CB82-08 333.00 1.4233 -9.25734
1578259.756747 5099962.459469              CB82-08 334.00 1.4231 -9.38972
1578242.027028 5099979.837837              CB82-08 335.00 1.4229 -9.29563
1578224.297309 5099997.216205              CB82-08 336.00 1.4228 -8.70361
1578206.567551 5100014.594611              CB82-08 337.00 1.4228 -8.07595
1578188.837831 5100031.972979              CB82-08 338.00 1.4227 -8.63985
1578171.108112 5100049.351347              CB82-08 339.00 1.4223 -9.65332
1578153.378393 5100066.729715              CB82-08 340.00 1.4219 -10.473
1578135.648635 5100084.108122              CB82-08 341.00 1.4215 -10.902
1578117.918916 5100101.486490              CB82-08 342.00 1.4213 -11.0781
1578100.189197 5100118.864858              CB82-08 343.00 1.4211 -11.4559
1578082.459477 5100136.243226              CB82-08 344.00 1.4209 -11.508
1578064.729719 5100153.621632              CB82-08 345.00 1.4206 -11.4159
1578047.000000 5100171.000000              CB82-08 346.00 1.4205 -10.8005
