1581028.981996 5097295.738725              CB82-08 180.00 1.4640 0
1581011.045070 5097313.153129              CB82-08 181.00 1.4636 0
1580993.108143 5097330.567533              CB82-08 182.00 1.4632 0
1580975.171217 5097347.981937              CB82-08 183.00 1.4627 0
1580957.234291 5097365.396341              CB82-08 184.00 1.4624 0
1580939.297246 5097382.810861              CB82-08 185.00 1.4619 0
1580921.360320 5097400.225265              CB82-08 186.00 1.4615 0
1580903.423393 5097417.639669              CB82-08 187.00 1.4613 0
1580885.486467 5097435.054073              CB82-08 188.00 1.4610 0
1580867.549541 5097452.468477              CB82-08 189.00 1.4603 0
1580849.612615 5097469.882881              CB82-08 190.00 1.4597 0
1580831.675689 5097487.297285              CB82-08 191.00 1.4594 0
1580813.738762 5097504.711689              CB82-08 192.00 1.4594 0
1580795.801836 5097522.126093              CB82-08 193.00 1.4593 0
1580777.864910 5097539.540497              CB82-08 194.00 1.4591 0
1580759.927984 5097556.954901              CB82-08 195.00 1.4589 0
1580741.990939 5097574.369420              CB82-08 196.00 1.4585 0
1580724.054012 5097591.783824              CB82-08 197.00 1.4584 0
1580706.117086 5097609.198228              CB82-08 198.00 1.4583 0
1580688.180160 5097626.612632              CB82-08 199.00 1.4583 0
1580670.243234 5097644.027036              CB82-08 200.00 1.4582 0
1580652.306307 5097661.441440              CB82-08 201.00 1.4580 0
1580634.369381 5097678.855844              CB82-08 202.00 1.4578 0
1580616.432455 5097696.270248              CB82-08 203.00 1.4573 0
1580598.495529 5097713.684653              CB82-08 204.00 1.4568 0
1580580.558602 5097731.099057              CB82-08 205.00 1.4564 0
1580562.621676 5097748.513461              CB82-08 206.00 1.4562 0
1580544.684631 5097765.927980              CB82-08 207.00 1.4562 0
1580526.747705 5097783.342384              CB82-08 208.00 1.4559 0
1580508.810779 5097800.756788              CB82-08 209.00 1.4556 0
1580490.873852 5097818.171192              CB82-08 210.00 1.4554 0
1580472.936926 5097835.585596              CB82-08 211.00 1.4555 0
1580455.000000 5097853.000000              CB82-08 212.00 1.4555 0
1580436.888889 5097870.444445              CB82-08 213.00 1.4555 0
1580418.777778 5097887.888889              CB82-08 214.00 1.4553 0
1580400.666665 5097905.333335              CB82-08 215.00 1.4551 0
1580382.555555 5097922.777778              CB82-08 216.00 1.4548 0
1580364.444440 5097940.222226              CB82-08 217.00 1.4546 0
1580346.333330 5097957.666670              CB82-08 218.00 1.4547 0
1580328.222220 5097975.111113              CB82-08 219.00 1.4547 0
1580310.111110 5097992.555557              CB82-08 220.00 1.4548 0
1580292.000000 5098010.000000              CB82-08 221.00 1.4552 0
1580273.909090 5098027.000001              CB82-08 222.00 1.4554 0
1580255.818181 5098044.000001              CB82-08 223.00 1.4553 0
1580237.727271 5098061.000002              CB82-08 224.00 1.4555 0
1580219.636361 5098078.000002              CB82-08 225.00 1.4556 0
1580201.545452 5098095.000003              CB82-08 226.00 1.4557 0
1580183.454542 5098112.000003              CB82-08 227.00 1.4558 0
1580165.363639 5098128.999998              CB82-08 228.00 1.4553 0
1580147.272723 5098146.000004              CB82-08 229.00 1.4549 0
1580129.181819 5098162.999999              CB82-08 230.00 1.4547 0
1580111.090904 5098180.000005              CB82-08 231.00 1.4546 0
1580093.000000 5098197.000000              CB82-08 232.00 1.4545 0
1580074.666666 5098214.416667              CB82-08 233.00 1.4545 0
1580056.333332 5098231.833334              CB82-08 234.00 1.4544 0
1580038.000000 5098249.250000              CB82-08 235.00 1.4540 0
1580019.666664 5098266.666669              CB82-08 236.00 1.4536 0
1580001.333336 5098284.083331              CB82-08 237.00 1.4537 0
1579983.000000 5098301.500000              CB82-08 238.00 1.4540 0
1579964.666671 5098318.916663              CB82-08 239.00 1.4544 0
1579946.333329 5098336.333337              CB82-08 240.00 1.4547 0
1579928.000000 5098353.750000              CB82-08 241.00 1.4548 0
1579909.666671 5098371.166663              CB82-08 242.00 1.4547 0
1579891.333329 5098388.583337              CB82-08 243.00 1.4546 0
1579873.000000 5098406.000000              CB82-08 244.00 1.4543 0
1579855.000000 5098423.214286              CB82-08 245.00 1.4540 0
1579836.999999 5098440.428572              CB82-08 246.00 1.4537 0
1579818.999998 5098457.642859              CB82-08 247.00 1.4534 0
1579800.999999 5098474.857144              CB82-08 248.00 1.4535 0
1579783.000000 5098492.071429              CB82-08 249.00 1.4537 0
1579764.999995 5098509.285719              CB82-08 250.00 1.4537 0
1579746.999996 5098526.500004              CB82-08 251.00 1.4535 0
1579728.999997 5098543.714288              CB82-08 252.00 1.4533 0
1579710.999998 5098560.928573              CB82-08 253.00 1.4532 0
1579692.999999 5098578.142858              CB82-08 254.00 1.4533 0
1579674.999989 5098595.357153              CB82-08 255.00 1.4533 0
1579656.999990 5098612.571438              CB82-08 256.00 1.4534 0
1579638.999991 5098629.785722              CB82-08 257.00 1.4533 0
1579620.999992 5098647.000007              CB82-08 258.00 1.4528 0
1579602.999994 5098664.214292              CB82-08 259.00 1.4524 0
1579584.999995 5098681.428577              CB82-08 260.00 1.4520 0
1579566.999996 5098698.642861              CB82-08 261.00 1.4520 0
1579548.999997 5098715.857146              CB82-08 262.00 1.4521 0
1579530.999998 5098733.071431              CB82-08 263.00 1.4522 0
1579512.999999 5098750.285715              CB82-08 264.00 1.4519 0
1579495.000000 5098767.500000              CB82-08 265.00 1.4519 0
