1580724.054012 5097591.783824              CB82-08 197.00 1.6408 -1.94151
1580706.117086 5097609.198228              CB82-08 198.00 1.6404 -1.90848
1580688.180160 5097626.612632              CB82-08 199.00 1.6401 -1.64144
1580670.243234 5097644.027036              CB82-08 200.00 1.6398 -1.28647
1580652.306307 5097661.441440              CB82-08 201.00 1.6394 -0.593264
1580634.369381 5097678.855844              CB82-08 202.00 1.6391 -0.21327
1580616.432455 5097696.270248              CB82-08 203.00 1.6387 0.346829
1580598.495529 5097713.684653              CB82-08 204.00 1.6384 1.17673
1580580.558602 5097731.099057              CB82-08 205.00 1.6380 1.79236
1580562.621676 5097748.513461              CB82-08 206.00 1.6377 1.76701
1580544.684631 5097765.927980              CB82-08 207.00 1.6373 1.06857
1580526.747705 5097783.342384              CB82-08 208.00 1.6369 0.522853
1580508.810779 5097800.756788              CB82-08 209.00 1.6366 0.691827
1580490.873852 5097818.171192              CB82-08 210.00 1.6365 1.06758
1580472.936926 5097835.585596              CB82-08 211.00 1.6364 1.88484
1580455.000000 5097853.000000              CB82-08 212.00 1.6362 2.00255
1580436.888889 5097870.444445              CB82-08 213.00 1.6361 1.70042
1580418.777778 5097887.888889              CB82-08 214.00 1.6360 0.995461
1580400.666665 5097905.333335              CB82-08 215.00 1.6359 0.65205
1580382.555555 5097922.777778              CB82-08 216.00 1.6357 0.424647
1580364.444440 5097940.222226              CB82-08 217.00 1.6356 0.92843
1580346.333330 5097957.666670              CB82-08 218.00 1.6355 1.30011
1580328.222220 5097975.111113              CB82-08 219.00 1.6353 1.13682
1580310.111110 5097992.555557              CB82-08 220.00 1.6352 0.939623
1580292.000000 5098010.000000              CB82-08 221.00 1.6350 0.886007
1580273.909090 5098027.000001              CB82-08 222.00 1.6349 1.13521
1580255.818181 5098044.000001              CB82-08 223.00 1.6348 1.34756
1580237.727271 5098061.000002              CB82-08 224.00 1.6347 1.52813
1580219.636361 5098078.000002              CB82-08 225.00 1.6345 1.89787
1580201.545452 5098095.000003              CB82-08 226.00 1.6344 1.55469
1580183.454542 5098112.000003              CB82-08 227.00 1.6343 0.754559
1580165.363639 5098128.999998              CB82-08 228.00 1.6342 0.331465
1580147.272723 5098146.000004              CB82-08 229.00 1.6340 -0.385706
1580129.181819 5098162.999999              CB82-08 230.00 1.6339 -1.0712
1580111.090904 5098180.000005              CB82-08 231.00 1.6338 -1.38888
1580093.000000 5098197.000000              CB82-08 232.00 1.6329 -1.81509
1580074.666666 5098214.416667              CB82-08 233.00 1.6330 -1.73793
1580056.333332 5098231.833334              CB82-08 234.00 1.6332 -1.64804
1580038.000000 5098249.250000              CB82-08 235.00 1.6332 -1.45056
1580019.666664 5098266.666669              CB82-08 236.00 1.6332 -1.8795
1580001.333336 5098284.083331              CB82-08 237.00 1.6337 -2.59037
1579983.000000 5098301.500000              CB82-08 238.00 1.6339 -3.10476
1579964.666671 5098318.916663              CB82-08 239.00 1.6336 -3.67753
1579946.333329 5098336.333337              CB82-08 240.00 1.6333 -4.58436
1579928.000000 5098353.750000              CB82-08 241.00 1.6332 -5.64685
1579909.666671 5098371.166663              CB82-08 242.00 1.6330 -5.97057
1579891.333329 5098388.583337              CB82-08 243.00 1.6326 -5.47428
1579873.000000 5098406.000000              CB82-08 244.00 1.6322 -4.26568
1579855.000000 5098423.214286              CB82-08 245.00 1.6322 -2.82385
1579836.999999 5098440.428572              CB82-08 246.00 1.6328 -2.36276
1579818.999998 5098457.642859              CB82-08 247.00 1.6334 -2.21624
1579800.999999 5098474.857144              CB82-08 248.00 1.6336 -2.45718
1579783.000000 5098492.071429              CB82-08 249.00 1.6328 -3.19379
1579764.999995 5098509.285719              CB82-08 250.00 1.6321 -3.37558
1579746.999996 5098526.500004              CB82-08 251.00 1.6315 -3.01863
1579728.999997 5098543.714288              CB82-08 252.00 1.6308 -2.5963
1579710.999998 5098560.928573              CB82-08 253.00 1.6303 -1.75845
1579692.999999 5098578.142858              CB82-08 254.00 1.6291 -1.16798
1579674.999989 5098595.357153              CB82-08 255.00 1.6281 -1.42413
1579656.999990 5098612.571438              CB82-08 256.00 1.6278 -2.42464
1579638.999991 5098629.785722              CB82-08 257.00 1.6276 -3.12198
1579620.999992 5098647.000007              CB82-08 258.00 1.6275 -3.08834
1579602.999994 5098664.214292              CB82-08 259.00 1.6275 -2.35764
