1581315.972934 5097017.108145              CB82-08 164.00 1515.5564 1515.56
1581298.036008 5097034.522550              CB82-08 165.00 1516.1462 1516.15
1581280.099082 5097051.936954              CB82-08 166.00 1516.5317 1516.53
1581262.162156 5097069.351358              CB82-08 167.00 1515.8674 1515.87
1581244.225230 5097086.765762              CB82-08 168.00 1514.5432 1514.54
1581226.288303 5097104.180166              CB82-08 169.00 1513.2378 1513.24
1581208.351377 5097121.594570              CB82-08 170.00 1512.6418 1512.64
1581190.414451 5097139.008974              CB82-08 171.00 1512.4263 1512.43
1581172.477525 5097156.423378              CB82-08 172.00 1512.7372 1512.74
1581154.540598 5097173.837782              CB82-08 173.00 1513.2539 1513.25
1581136.603553 5097191.252301              CB82-08 174.00 1513.4712 1513.47
1581118.666627 5097208.666705              CB82-08 175.00 1513.8572 1513.86
1581100.729701 5097226.081109              CB82-08 176.00 1514.1802 1514.18
1581082.792775 5097243.495513              CB82-08 177.00 1513.9539 1513.95
1581064.855848 5097260.909917              CB82-08 178.00 1513.4772 1513.48
1581046.918922 5097278.324321              CB82-08 179.00 1513.0348 1513.03
1581028.981996 5097295.738725              CB82-08 180.00 1512.2385 1512.24
1581011.045070 5097313.153129              CB82-08 181.00 1511.6144 1511.61
1580993.108143 5097330.567533              CB82-08 182.00 1511.1691 1511.17
1580975.171217 5097347.981937              CB82-08 183.00 1510.6454 1510.65
1580957.234291 5097365.396341              CB82-08 184.00 1510.7850 1510.79
1580939.297246 5097382.810861              CB82-08 185.00 1511.4238 1511.42
1580921.360320 5097400.225265              CB82-08 186.00 1511.6105 1511.61
1580903.423393 5097417.639669              CB82-08 187.00 1511.2374 1511.24
1580885.486467 5097435.054073              CB82-08 188.00 1510.5278 1510.53
1580867.549541 5097452.468477              CB82-08 189.00 1509.5571 1509.56
1580849.612615 5097469.882881              CB82-08 190.00 1508.4423 1508.44
1580831.675689 5097487.297285              CB82-08 191.00 1507.5444 1507.54
1580813.738762 5097504.711689              CB82-08 192.00 1506.8597 1506.86
1580795.801836 5097522.126093              CB82-08 193.00 1506.4535 1506.45
1580777.864910 5097539.540497              CB82-08 194.00 1506.3979 1506.4
1580759.927984 5097556.954901              CB82-08 195.00 1506.8296 1506.83
1580741.990939 5097574.369420              CB82-08 196.00 1507.8829 1507.88
1580724.054012 5097591.783824              CB82-08 197.00 1508.1039 1508.1
1580706.117086 5097609.198228              CB82-08 198.00 1508.0435 1508.04
1580688.180160 5097626.612632              CB82-08 199.00 1507.5280 1507.53
1580670.243234 5097644.027036              CB82-08 200.00 1507.0978 1507.1
1580652.306307 5097661.441440              CB82-08 201.00 1506.7822 1506.78
1580634.369381 5097678.855844              CB82-08 202.00 1506.1877 1506.19
1580616.432455 5097696.270248              CB82-08 203.00 1505.6290 1505.63
1580598.495529 5097713.684653              CB82-08 204.00 1504.8069 1504.81
1580580.558602 5097731.099057              CB82-08 205.00 1504.1412 1504.14
1580562.621676 5097748.513461              CB82-08 206.00 1504.0226 1504.02
1580544.684631 5097765.927980              CB82-08 207.00 1504.2119 1504.21
1580526.747705 5097783.342384              CB82-08 208.00 1504.8956 1504.9
1580508.810779 5097800.756788              CB82-08 209.00 1505.0399 1505.04
1580490.873852 5097818.171192              CB82-08 210.00 1504.8413 1504.84
1580472.936926 5097835.585596              CB82-08 211.00 1504.2908 1504.29
1580455.000000 5097853.000000              CB82-08 212.00 1504.1240 1504.12
1580436.888889 5097870.444445              CB82-08 213.00 1504.1903 1504.19
1580418.777778 5097887.888889              CB82-08 214.00 1504.4711 1504.47
1580400.666665 5097905.333335              CB82-08 215.00 1504.7354 1504.74
1580382.555555 5097922.777778              CB82-08 216.00 1504.8975 1504.9
1580364.444440 5097940.222226              CB82-08 217.00 1503.9805 1503.98
1580346.333330 5097957.666670              CB82-08 218.00 1502.3680 1502.37
1580328.222220 5097975.111113              CB82-08 219.00 1502.2153 1502.22
1580310.111110 5097992.555557              CB82-08 220.00 1502.6959 1502.7
1580292.000000 5098010.000000              CB82-08 221.00 1502.5585 1502.56
1580273.909090 5098027.000001              CB82-08 222.00 1502.8562 1502.86
1580255.818181 5098044.000001              CB82-08 223.00 1502.7958 1502.8
1580237.727271 5098061.000002              CB82-08 224.00 1502.3636 1502.36
1580219.636361 5098078.000002              CB82-08 225.00 1502.0060 1502.01
1580201.545452 5098095.000003              CB82-08 226.00 1502.4506 1502.45
1580183.454542 5098112.000003              CB82-08 227.00 1503.3925 1503.39
1580165.363639 5098128.999998              CB82-08 228.00 1504.6912 1504.69
1580147.272723 5098146.000004              CB82-08 229.00 1505.4109 1505.41
1580129.181819 5098162.999999              CB82-08 230.00 1505.7806 1505.78
1580111.090904 5098180.000005              CB82-08 231.00 1505.5852 1505.59
1580093.000000 5098197.000000              CB82-08 232.00 1504.9702 1504.97
1580074.666666 5098214.416667              CB82-08 233.00 1504.8502 1504.85
1580056.333332 5098231.833334              CB82-08 234.00 1504.8330 1504.83
1580038.000000 5098249.250000              CB82-08 235.00 1505.2286 1505.23
1580019.666664 5098266.666669              CB82-08 236.00 1505.4558 1505.46
1580001.333336 5098284.083331              CB82-08 237.00 1504.9674 1504.97
1579983.000000 5098301.500000              CB82-08 238.00 1504.4586 1504.46
1579964.666671 5098318.916663              CB82-08 239.00 1504.1378 1504.14
1579946.333329 5098336.333337              CB82-08 240.00 1504.1593 1504.16
1579928.000000 5098353.750000              CB82-08 241.00 1504.5306 1504.53
1579909.666671 5098371.166663              CB82-08 242.00 1504.8582 1504.86
1579891.333329 5098388.583337              CB82-08 243.00 1504.9946 1504.99
1579873.000000 5098406.000000              CB82-08 244.00 1505.2448 1505.24
1579855.000000 5098423.214286              CB82-08 245.00 1505.4912 1505.49
1579836.999999 5098440.428572              CB82-08 246.00 1505.8677 1505.87
1579818.999998 5098457.642859              CB82-08 247.00 1506.8075 1506.81
1579800.999999 5098474.857144              CB82-08 248.00 1506.8596 1506.86
1579783.000000 5098492.071429              CB82-08 249.00 1506.4020 1506.4
1579764.999995 5098509.285719              CB82-08 250.00 1505.8171 1505.82
1579746.999996 5098526.500004              CB82-08 251.00 1505.4738 1505.47
1579728.999997 5098543.714288              CB82-08 252.00 1505.0374 1505.04
1579710.999998 5098560.928573              CB82-08 253.00 1504.5128 1504.51
1579692.999999 5098578.142858              CB82-08 254.00 1503.9604 1503.96
1579674.999989 5098595.357153              CB82-08 255.00 1503.7648 1503.76
1579656.999990 5098612.571438              CB82-08 256.00 1503.4929 1503.49
1579638.999991 5098629.785722              CB82-08 257.00 1503.4586 1503.46
1579620.999992 5098647.000007              CB82-08 258.00 1503.9703 1503.97
1579602.999994 5098664.214292              CB82-08 259.00 1503.9513 1503.95
1579584.999995 5098681.428577              CB82-08 260.00 1503.1981 1503.2
1579566.999996 5098698.642861              CB82-08 261.00 1501.8817 1501.88
1579548.999997 5098715.857146              CB82-08 262.00 1501.1361 1501.14
1579530.999998 5098733.071431              CB82-08 263.00 1500.8157 1500.82
1579512.999999 5098750.285715              CB82-08 264.00 1500.6489 1500.65
1579495.000000 5098767.500000              CB82-08 265.00 1500.7021 1500.7
1579476.999979 5098784.714306              CB82-08 266.00 1501.1012 1501.1
1579459.000002 5098801.928569              CB82-08 267.00 1501.2871 1501.29
1579440.999981 5098819.142876              CB82-08 268.00 1501.7843 1501.78
1579423.000004 5098836.357139              CB82-08 269.00 1502.3276 1502.33
1579404.999983 5098853.571445              CB82-08 270.00 1502.2596 1502.26
1579387.000006 5098870.785708              CB82-08 271.00 1501.7760 1501.78
1579368.999985 5098888.000014              CB82-08 272.00 1501.5533 1501.55
1579351.000009 5098905.214278              CB82-08 273.00 1501.3093 1501.31
1579332.999987 5098922.428584              CB82-08 274.00 1501.2179 1501.22
1579315.000011 5098939.642847              CB82-08 275.00 1501.6049 1501.6
1579296.999989 5098956.857153              CB82-08 276.00 1501.8746 1501.87
1579279.000013 5098974.071416              CB82-08 277.00 1501.4092 1501.41
1579260.999991 5098991.285722              CB82-08 278.00 1500.1306 1500.13
1579243.000015 5099008.499986              CB82-08 279.00 1499.0818 1499.08
1579224.999994 5099025.714292              CB82-08 280.00 1498.9017 1498.9
1579207.000017 5099042.928555              CB82-08 281.00 1498.9904 1498.99
1579188.999996 5099060.142861              CB82-08 282.00 1498.9218 1498.92
1579171.000019 5099077.357124              CB82-08 283.00 1498.9567 1498.96
1579152.999998 5099094.571431              CB82-08 284.00 1499.0543 1499.05
1579135.000021 5099111.785694              CB82-08 285.00 1499.1906 1499.19
1579117.000000 5099129.000000              CB82-08 286.00 1499.3562 1499.36
1579099.000000 5099146.347826              CB82-08 287.00 1499.3867 1499.39
1579080.999999 5099163.695653              CB82-08 288.00 1499.4792 1499.48
1579063.000001 5099181.043478              CB82-08 289.00 1499.3787 1499.38
1579044.999999 5099198.391306              CB82-08 290.00 1499.4336 1499.43
1579027.000003 5099215.739128              CB82-08 291.00 1499.6198 1499.62
1579009.000001 5099233.086955              CB82-08 292.00 1499.9764 1499.98
1578991.000005 5099250.434777              CB82-08 293.00 1500.2195 1500.22
1578972.999997 5099267.782611              CB82-08 294.00 1500.0890 1500.09
1578955.000002 5099285.130433              CB82-08 295.00 1499.8889 1499.89
1578937.000006 5099302.478255              CB82-08 296.00 1499.7607 1499.76
1578918.999998 5099319.826089              CB82-08 297.00 1499.5223 1499.52
1578901.000002 5099337.173911              CB82-08 298.00 1499.3131 1499.31
1578883.000006 5099354.521733              CB82-08 299.00 1499.2797 1499.28
1578865.000011 5099371.869555              CB82-08 300.00 1499.2225 1499.22
1578846.999990 5099389.217401              CB82-08 301.00 1499.1404 1499.14
1578828.999995 5099406.565223              CB82-08 302.00 1498.9705 1498.97
1578810.999999 5099423.913045              CB82-08 303.00 1498.7677 1498.77
1578793.000003 5099441.260866              CB82-08 304.00 1498.8062 1498.81
1578775.000008 5099458.608688              CB82-08 305.00 1498.7993 1498.8
1578757.000012 5099475.956510              CB82-08 306.00 1498.9193 1498.92
1578738.999991 5099493.304356              CB82-08 307.00 1498.9528 1498.95
1578720.999996 5099510.652178              CB82-08 308.00 1499.2135 1499.21
1578703.000000 5099528.000000              CB82-08 309.00 1499.4189 1499.42
1578685.270270 5099545.378379              CB82-08 310.00 1499.1777 1499.18
1578667.540540 5099562.756758              CB82-08 311.00 1498.9608 1498.96
1578649.810813 5099580.135133              CB82-08 312.00 1498.8461 1498.85
1578632.081079 5099597.513515              CB82-08 313.00 1498.9131 1498.91
1578614.351355 5099614.891888              CB82-08 314.00 1498.9789 1498.98
1578596.621626 5099632.270266              CB82-08 315.00 1498.7982 1498.8
1578578.891888 5099649.648653              CB82-08 316.00 1498.8405 1498.84
1578561.162159 5099667.027030              CB82-08 317.00 1498.8112 1498.81
1578543.432430 5099684.405408              CB82-08 318.00 1498.6414 1498.64
1578525.702711 5099701.783776              CB82-08 319.00 1497.7469 1497.75
1578507.972972 5099719.162163              CB82-08 320.00 1496.9987 1497
1578490.243253 5099736.540531              CB82-08 321.00 1496.8440 1496.84
1578472.513514 5099753.918918              CB82-08 322.00 1496.7362 1496.74
1578454.783775 5099771.297306              CB82-08 323.00 1496.4540 1496.45
1578437.054056 5099788.675674              CB82-08 324.00 1496.2531 1496.25
1578419.324317 5099806.054061              CB82-08 325.00 1496.0936 1496.09
1578401.594598 5099823.432429              CB82-08 326.00 1495.8829 1495.88
1578383.864860 5099840.810816              CB82-08 327.00 1495.6079 1495.61
1578366.135140 5099858.189184              CB82-08 328.00 1495.3777 1495.38
1578348.405421 5099875.567552              CB82-08 329.00 1495.3029 1495.3
1578330.675663 5099892.945958              CB82-08 330.00 1495.6307 1495.63
1578312.945944 5099910.324326              CB82-08 331.00 1496.1573 1496.16
1578295.216225 5099927.702694              CB82-08 332.00 1496.5293 1496.53
1578277.486506 5099945.081062              CB82-08 333.00 1496.7578 1496.76
1578259.756747 5099962.459469              CB82-08 334.00 1497.1167 1497.12
1578242.027028 5099979.837837              CB82-08 335.00 1497.5875 1497.59
1578224.297309 5099997.216205              CB82-08 336.00 1497.8290 1497.83
1578206.567551 5100014.594611              CB82-08 337.00 1498.1794 1498.18
1578188.837831 5100031.972979              CB82-08 338.00 1498.0369 1498.04
1578171.108112 5100049.351347              CB82-08 339.00 1497.1973 1497.2
1578153.378393 5100066.729715              CB82-08 340.00 1496.1571 1496.16
1578135.648635 5100084.108122              CB82-08 341.00 1495.9900 1495.99
1578117.918916 5100101.486490              CB82-08 342.00 1495.8630 1495.86
1578100.189197 5100118.864858              CB82-08 343.00 1495.9099 1495.91
1578082.459477 5100136.243226              CB82-08 344.00 1496.1843 1496.18
1578064.729719 5100153.621632              CB82-08 345.00 1496.6969 1496.7
1578047.000000 5100171.000000              CB82-08 346.00 1497.1453 1497.15
1578029.176471 5100188.764706              CB82-08 347.00 1497.2977 1497.3
1578011.352941 5100206.529412              CB82-08 348.00 1497.1458 1497.15
1577993.529410 5100224.294119              CB82-08 349.00 1496.7499 1496.75
1577975.705882 5100242.058824              CB82-08 350.00 1496.4926 1496.49
1577957.882349 5100259.823533              CB82-08 351.00 1496.1610 1496.16
1577940.058821 5100277.588238              CB82-08 352.00 1495.8833 1495.88
1577922.235293 5100295.352943              CB82-08 353.00 1495.2073 1495.21
1577904.411764 5100313.117648              CB82-08 354.00 1493.8230 1493.82
1577886.588227 5100330.882361              CB82-08 355.00 1493.0598 1493.06
1577868.764698 5100348.647066              CB82-08 356.00 1492.6986 1492.7
1577850.941170 5100366.411771              CB82-08 357.00 1492.2758 1492.28
1577833.117642 5100384.176476              CB82-08 358.00 1491.8900 1491.89
1577815.294113 5100401.941181              CB82-08 359.00 1491.3462 1491.35
1577797.470585 5100419.705886              CB82-08 360.00 1490.7894 1490.79
1577779.647057 5100437.470590              CB82-08 361.00 1490.3859 1490.39
1577761.823528 5100455.235295              CB82-08 362.00 1490.1688 1490.17
1577744.000000 5100473.000000              CB82-08 363.00 1490.4003 1490.4
1577726.384615 5100490.692308              CB82-08 364.00 1491.0129 1491.01
1577708.769229 5100508.384617              CB82-08 365.00 1491.7994 1491.8
1577691.153846 5100526.076923              CB82-08 366.00 1491.8221 1491.82
1577673.538459 5100543.769233              CB82-08 367.00 1491.3582 1491.36
1577655.923075 5100561.461540              CB82-08 368.00 1491.6354 1491.64
