1569942.105259 5107979.157899              CB82-08 797.00 1.6678 -13.1433
1569924.421056 5107996.631576              CB82-08 798.00 1.6651 -14.7435
1569906.736833 5108014.105273              CB82-08 799.00 1.6613 -15.6033
1569889.052629 5108031.578949              CB82-08 800.00 1.6587 -14.6768
1569871.368426 5108049.052626              CB82-08 801.00 1.6518 -15.0334
1569853.684203 5108066.526323              CB82-08 802.00 1.6505 -16.1454
1569836.000000 5108084.000000              CB82-08 803.00 1.6517 -16.9718
1569818.499999 5108101.666667              CB82-08 804.00 1.6518 -17.4243
1569800.999999 5108119.333334              CB82-08 805.00 1.6512 -15.8063
1569783.500000 5108137.000000              CB82-08 806.00 1.6498 -13.3582
1569765.999998 5108154.666669              CB82-08 807.00 1.6454 -11.8338
1569748.500002 5108172.333331              CB82-08 808.00 1.6430 -11.8138
1569731.000000 5108190.000000              CB82-08 809.00 1.6420 -11.679
1569713.500004 5108207.666662              CB82-08 810.00 1.6420 -10.778
1569695.999996 5108225.333338              CB82-08 811.00 1.6427 -9.92399
1569678.500000 5108243.000000              CB82-08 812.00 1.6425 -9.89485
1569661.000004 5108260.666662              CB82-08 813.00 1.6420 -10.5149
1569643.499996 5108278.333338              CB82-08 814.00 1.6424 -11.7228
1569626.000000 5108296.000000              CB82-08 815.00 1.6432 -12.5871
1569608.785714 5108313.285715              CB82-08 816.00 1.6437 -12.7816
1569591.571427 5108330.571430              CB82-08 817.00 1.6435 -12.8818
1569574.357142 5108347.857143              CB82-08 818.00 1.6428 -13.3456
1569557.142854 5108365.142860              CB82-08 819.00 1.6425 -15.6253
1569539.928569 5108382.428573              CB82-08 820.00 1.6433 -18.84
1569522.714285 5108399.714287              CB82-08 821.00 1.6446 -20.8924
1569505.500000 5108417.000000              CB82-08 822.00 1.6461 -21.4283
1569488.285708 5108434.285720              CB82-08 823.00 1.6471 -20.7277
1569471.071431 5108451.571427              CB82-08 824.00 1.6478 -19.5788
1569453.857139 5108468.857147              CB82-08 825.00 1.6482 -18.9291
1569436.642861 5108486.142853              CB82-08 826.00 1.6487 -18.2037
1569419.428569 5108503.428573              CB82-08 827.00 1.6490 -17.6006
1569402.214292 5108520.714280              CB82-08 828.00 1.6490 -17.3087
1569385.000000 5108538.000000              CB82-08 829.00 1.6490 -16.8777
1569367.125000 5108555.687500              CB82-08 830.00 1.6494 -16.8547
1569349.250000 5108573.375000              CB82-08 831.00 1.6504 -18.0636
1569331.375000 5108591.062500              CB82-08 832.00 1.6517 -21.3454
1569313.500000 5108608.750000              CB82-08 833.00 1.6520 -26.1313
1569295.625000 5108626.437500              CB82-08 834.00 1.6515 -30.9294
1569277.750000 5108644.125000              CB82-08 835.00 1.6511 -33.3197
1569259.875000 5108661.812500              CB82-08 836.00 1.6512 -34.1929
1569242.000000 5108679.500000              CB82-08 837.00 1.6518 -33.1428
